date,age,device,count,sum
2014-03-01,18-24,android,13,31.0
2014-03-02,18-24,android,5,69.0
2014-03-03,18-24,android,6,40.0
2014-03-04,18-24,android,7,49.0
2014-03-05,18-24,android,5,113.0
2014-03-06,18-24,android,2,1.0
2014-03-07,18-24,android,8,116.0
2014-03-08,18-24,android,9,0.0
2014-03-09,18-24,android,1,27.0
2014-03-10,18-24,android,9,105.0
2014-03-11,18-24,android,4,45.0
2014-03-12,18-24,android,6,200.0
2014-03-13,18-24,android,11,142.0
2014-03-14,18-24,android,4,85.0
2014-03-15,18-24,android,3,112.0
2014-03-16,18-24,android,3,0.0
2014-03-17,18-24,android,4,57.0
2014-03-18,18-24,android,5,48.0
2014-03-19,18-24,android,5,93.0
2014-03-20,18-24,android,5,177.0
2014-03-21,18-24,android,3,67.0
2014-03-22,18-24,android,7,88.0
2014-03-23,18-24,android,1,57.0
2014-03-24,18-24,android,5,145.0
2014-03-25,18-24,android,2,48.0
2014-03-26,18-24,android,5,76.0
2014-03-27,18-24,android,1,0.0
2014-03-28,18-24,android,4,99.0
2014-03-29,18-24,android,4,54.0
2014-03-30,18-24,android,6,130.0
2014-03-31,18-24,android,2,67.0
2014-03-01,18-24,iOS,10,64.0
2014-03-02,18-24,iOS,8,37.0
2014-03-03,18-24,iOS,6,70.0
2014-03-04,18-24,iOS,10,170.0
2014-03-05,18-24,iOS,6,0.0
2014-03-06,18-24,iOS,8,132.0
2014-03-07,18-24,iOS,6,31.0
2014-03-08,18-24,iOS,2,40.0
2014-03-09,18-24,iOS,6,109.0
2014-03-10,18-24,iOS,9,134.0
2014-03-11,18-24,iOS,6,111.0
2014-03-12,18-24,iOS,3,74.0
2014-03-13,18-24,iOS,9,152.0
2014-03-14,18-24,iOS,3,110.0
2014-03-15,18-24,iOS,2,63.0
2014-03-16,18-24,iOS,5,61.0
2014-03-17,18-24,iOS,4,51.0
2014-03-18,18-24,iOS,1,52.0
2014-03-19,18-24,iOS,2,67.0
2014-03-20,18-24,iOS,3,90.0
2014-03-22,18-24,iOS,7,128.0
2014-03-23,18-24,iOS,5,45.0
2014-03-24,18-24,iOS,2,4.0
2014-03-26,18-24,iOS,3,107.0
2014-03-27,18-24,iOS,4,89.0
2014-03-28,18-24,iOS,4,190.0
2014-03-29,18-24,iOS,1,35.0
2014-03-30,18-24,iOS,1,0.0
2014-03-31,18-24,iOS,5,146.0
2014-03-01,25-34,android,9,110.0
2014-03-02,25-34,android,4,0.0
2014-03-03,25-34,android,4,39.0
2014-03-04,25-34,android,7,41.0
2014-03-05,25-34,android,3,84.0
2014-03-06,25-34,android,6,16.0
2014-03-07,25-34,android,2,0.0
2014-03-08,25-34,android,1,0.0
2014-03-09,25-34,android,4,86.0
2014-03-10,25-34,android,5,113.0
2014-03-11,25-34,android,6,80.0
2014-03-12,25-34,android,3,40.0
2014-03-13,25-34,android,1,0.0
2014-03-14,25-34,android,2,0.0
2014-03-15,25-34,android,1,0.0
2014-03-16,25-34,android,4,21.0
2014-03-17,25-34,android,3,38.0
2014-03-18,25-34,android,4,42.0
2014-03-19,25-34,android,2,39.0
2014-03-20,25-34,android,3,0.0
2014-03-21,25-34,android,5,118.0
2014-03-22,25-34,android,2,0.0
2014-03-23,25-34,android,3,92.0
2014-03-24,25-34,android,4,83.0
2014-03-25,25-34,android,3,52.0
2014-03-26,25-34,android,2,53.0
2014-03-27,25-34,android,3,85.0
2014-03-28,25-34,android,2,0.0
2014-03-29,25-34,android,3,32.0
2014-03-30,25-34,android,1,0.0
2014-03-31,25-34,android,5,112.0
2014-03-01,25-34,iOS,12,31.0
2014-03-02,25-34,iOS,15,89.0
2014-03-03,25-34,iOS,14,103.0
2014-03-04,25-34,iOS,8,95.0
2014-03-05,25-34,iOS,10,188.0
2014-03-06,25-34,iOS,7,183.0
2014-03-07,25-34,iOS,7,0.0
2014-03-08,25-34,iOS,5,83.0
2014-03-09,25-34,iOS,4,146.0
2014-03-10,25-34,iOS,11,243.0
2014-03-11,25-34,iOS,9,103.0
2014-03-12,25-34,iOS,5,154.0
2014-03-13,25-34,iOS,12,198.0
2014-03-14,25-34,iOS,3,75.0
2014-03-15,25-34,iOS,6,117.0
2014-03-16,25-34,iOS,4,141.0
2014-03-17,25-34,iOS,3,93.0
2014-03-18,25-34,iOS,5,0.0
2014-03-19,25-34,iOS,9,208.0
2014-03-20,25-34,iOS,7,158.0
2014-03-21,25-34,iOS,3,50.0
2014-03-22,25-34,iOS,7,79.0
2014-03-23,25-34,iOS,5,85.0
2014-03-24,25-34,iOS,5,86.0
2014-03-25,25-34,iOS,3,72.0
2014-03-26,25-34,iOS,4,31.0
2014-03-27,25-34,iOS,2,63.0
2014-03-28,25-34,iOS,3,24.0
2014-03-29,25-34,iOS,4,97.0
2014-03-30,25-34,iOS,2,46.0
2014-03-31,25-34,iOS,3,95.0
2014-03-01,35-44,android,7,33.0
2014-03-02,35-44,android,7,49.0
2014-03-03,35-44,android,8,123.0
2014-03-04,35-44,android,4,24.0
2014-03-05,35-44,android,4,11.0
2014-03-06,35-44,android,4,0.0
2014-03-07,35-44,android,3,44.0
2014-03-08,35-44,android,4,27.0
2014-03-09,35-44,android,3,40.0
2014-03-10,35-44,android,5,81.0
2014-03-11,35-44,android,3,53.0
2014-03-12,35-44,android,6,73.0
2014-03-13,35-44,android,2,56.0
2014-03-14,35-44,android,3,48.0
2014-03-15,35-44,android,2,0.0
2014-03-16,35-44,android,1,0.0
2014-03-17,35-44,android,3,83.0
2014-03-18,35-44,android,3,0.0
2014-03-19,35-44,android,4,76.0
2014-03-20,35-44,android,2,0.0
2014-03-21,35-44,android,2,92.0
2014-03-22,35-44,android,2,64.0
2014-03-23,35-44,android,4,63.0
2014-03-24,35-44,android,1,64.0
2014-03-25,35-44,android,3,120.0
2014-03-27,35-44,android,5,155.0
2014-03-28,35-44,android,1,0.0
2014-03-29,35-44,android,1,0.0
2014-03-30,35-44,android,1,0.0
2014-03-31,35-44,android,1,40.0
2014-03-01,35-44,iOS,5,24.0
2014-03-02,35-44,iOS,4,0.0
2014-03-03,35-44,iOS,3,0.0
2014-03-04,35-44,iOS,8,137.0
2014-03-05,35-44,iOS,1,51.0
2014-03-06,35-44,iOS,4,75.0
2014-03-07,35-44,iOS,3,108.0
2014-03-09,35-44,iOS,1,0.0
2014-03-11,35-44,iOS,2,45.0
2014-03-13,35-44,iOS,1,26.0
2014-03-14,35-44,iOS,3,0.0
2014-03-15,35-44,iOS,2,0.0
2014-03-16,35-44,iOS,2,94.0
2014-03-17,35-44,iOS,3,51.0
2014-03-18,35-44,iOS,1,0.0
2014-03-19,35-44,iOS,1,0.0
2014-03-20,35-44,iOS,2,32.0
2014-03-21,35-44,iOS,1,0.0
2014-03-22,35-44,iOS,3,0.0
2014-03-23,35-44,iOS,1,0.0
2014-03-24,35-44,iOS,1,0.0
2014-03-25,35-44,iOS,3,64.0
2014-03-26,35-44,iOS,2,46.0
2014-03-27,35-44,iOS,3,100.0
2014-03-28,35-44,iOS,1,39.0
2014-03-29,35-44,iOS,3,52.0
2014-03-30,35-44,iOS,1,0.0
2014-03-01,45-54,android,16,133.0
2014-03-02,45-54,android,12,73.0
2014-03-03,45-54,android,6,140.0
2014-03-04,45-54,android,8,81.0
2014-03-05,45-54,android,8,35.0
2014-03-06,45-54,android,7,95.0
2014-03-07,45-54,android,6,90.0
2014-03-08,45-54,android,4,38.0
2014-03-09,45-54,android,5,112.0
2014-03-10,45-54,android,4,81.0
2014-03-11,45-54,android,3,24.0
2014-03-12,45-54,android,9,115.0
2014-03-13,45-54,android,6,94.0
2014-03-14,45-54,android,6,52.0
2014-03-15,45-54,android,11,192.0
2014-03-16,45-54,android,5,40.0
2014-03-17,45-54,android,3,69.0
2014-03-18,45-54,android,4,96.0
2014-03-19,45-54,android,1,40.0
2014-03-20,45-54,android,5,99.0
2014-03-21,45-54,android,4,60.0
2014-03-22,45-54,android,3,70.0
2014-03-23,45-54,android,5,67.0
2014-03-24,45-54,android,9,155.0
2014-03-25,45-54,android,4,101.0
2014-03-26,45-54,android,5,161.0
2014-03-27,45-54,android,5,60.0
2014-03-28,45-54,android,4,0.0
2014-03-29,45-54,android,3,58.0
2014-03-30,45-54,android,3,41.0
2014-03-31,45-54,android,3,106.0
2014-03-01,45-54,iOS,7,34.0
2014-03-02,45-54,iOS,3,26.0
2014-03-03,45-54,iOS,10,44.0
2014-03-04,45-54,iOS,7,33.0
2014-03-05,45-54,iOS,4,0.0
2014-03-06,45-54,iOS,3,0.0
2014-03-07,45-54,iOS,6,0.0
2014-03-08,45-54,iOS,3,0.0
2014-03-09,45-54,iOS,7,144.0
2014-03-10,45-54,iOS,7,64.0
2014-03-11,45-54,iOS,4,0.0
2014-03-12,45-54,iOS,3,13.0
2014-03-13,45-54,iOS,3,152.0
2014-03-14,45-54,iOS,3,34.0
2014-03-15,45-54,iOS,3,82.0
2014-03-16,45-54,iOS,7,79.0
2014-03-17,45-54,iOS,5,65.0
2014-03-18,45-54,iOS,5,146.0
2014-03-19,45-54,iOS,3,60.0
2014-03-20,45-54,iOS,3,19.0
2014-03-21,45-54,iOS,4,82.0
2014-03-22,45-54,iOS,5,88.0
2014-03-23,45-54,iOS,1,0.0
2014-03-24,45-54,iOS,1,0.0
2014-03-25,45-54,iOS,3,0.0
2014-03-26,45-54,iOS,9,224.0
2014-03-27,45-54,iOS,5,124.0
2014-03-28,45-54,iOS,3,24.0
2014-03-29,45-54,iOS,6,43.0
2014-03-30,45-54,iOS,3,52.0
2014-03-31,45-54,iOS,1,13.0
2014-03-01,55+,android,9,40.0
2014-03-02,55+,android,15,51.0
2014-03-03,55+,android,5,53.0
2014-03-04,55+,android,12,66.0
2014-03-05,55+,android,2,0.0
2014-03-06,55+,android,6,132.0
2014-03-07,55+,android,11,216.0
2014-03-08,55+,android,5,54.0
2014-03-09,55+,android,3,122.0
2014-03-10,55+,android,1,42.0
2014-03-11,55+,android,7,151.0
2014-03-12,55+,android,6,58.0
2014-03-13,55+,android,7,219.0
2014-03-14,55+,android,3,54.0
2014-03-15,55+,android,7,66.0
2014-03-16,55+,android,3,42.0
2014-03-17,55+,android,2,91.0
2014-03-18,55+,android,6,131.0
2014-03-19,55+,android,2,0.0
2014-03-20,55+,android,2,95.0
2014-03-21,55+,android,2,46.0
2014-03-22,55+,android,4,146.0
2014-03-23,55+,android,3,125.0
2014-03-24,55+,android,2,35.0
2014-03-25,55+,android,2,61.0
2014-03-26,55+,android,4,72.0
2014-03-27,55+,android,2,83.0
2014-03-30,55+,android,4,53.0
2014-03-31,55+,android,1,42.0
2014-03-01,55+,iOS,10,9.0
2014-03-02,55+,iOS,7,83.0
2014-03-03,55+,iOS,5,29.0
2014-03-04,55+,iOS,4,0.0
2014-03-05,55+,iOS,6,82.0
2014-03-06,55+,iOS,1,0.0
2014-03-07,55+,iOS,3,0.0
2014-03-08,55+,iOS,5,106.0
2014-03-09,55+,iOS,7,32.0
2014-03-10,55+,iOS,5,27.0
2014-03-11,55+,iOS,2,131.0
2014-03-12,55+,iOS,2,58.0
2014-03-13,55+,iOS,2,0.0
2014-03-14,55+,iOS,3,0.0
2014-03-15,55+,iOS,6,83.0
2014-03-16,55+,iOS,2,35.0
2014-03-17,55+,iOS,3,0.0
2014-03-18,55+,iOS,5,112.0
2014-03-19,55+,iOS,1,50.0
2014-03-20,55+,iOS,5,141.0
2014-03-21,55+,iOS,3,40.0
2014-03-22,55+,iOS,2,0.0
2014-03-23,55+,iOS,2,49.0
2014-03-24,55+,iOS,1,29.0
2014-03-25,55+,iOS,3,104.0
2014-03-26,55+,iOS,5,164.0
2014-03-27,55+,iOS,2,0.0
2014-03-28,55+,iOS,2,60.0
2014-03-29,55+,iOS,2,0.0
2014-03-30,55+,iOS,3,86.0
